USD,IDR,persen,inflasi,klasifikasi
0,0,0,0,rendah
0,0,1,0,rendah
0,2500000,0,0,rendah
0,100,60,0,parah
0,0,0,0,rendah
0,373000000000000,7,0,parah
0,0,0,0,rendah
0,41000000000000,0,0,parah
0,0,0,0,rendah
0,21000000000000,0,0,parah
0,21000000000000,0,0,parah
0,0,0,0,rendah
0,15000000000,0,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,76,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,18300000000000,0,0,parah
0,67500000000000,52,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,2.46,0,rendah
0,0,17,0,parah
0,0,40,0,parah
0,0,68,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
75000000,15000000000,17,0,parah
0,0,0,0,rendah
0,3200000000,0,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,300000000000000,0,0,parah
0,0,0,0,rendah
0,150000000,0,0,sedang
41,615000000000,83,0,parah
0,0,0,0,rendah
0,5000000000,0,0,parah
0,0,70,0,parah
0,0,20,0,parah
0,0,0,0,rendah
0,0,1000,0,parah
0,0,0,0,rendah
0,300000000000000,0,0,parah
0,0,0,0,rendah
20800000000,300000000000000,0,0,parah
1100000000,20000000000000,0,0,parah
1100000000,20000000000000,0,0,parah
0,8000000000,40,0,parah
1,0,2.87,0,rendah
0,0,0,0,rendah
5160000000,0,0.91,0,parah
430000000000,0,17,1,parah
5160000000,0,0,0,parah
0,900000000000000,60,0,parah
0,0,60,0,parah
0,0,0,0,rendah
0,20000000000000,0,0,parah
1,0,3,0,rendah
0,8000000000,0,0,parah
0,0,0,0,rendah
383000000,0,1,0,sedang
0,0,0,0,rendah
219350000000,0,1,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,5.7,1,parah
24120000000,22990000000,2.46,0,parah
252400000,0,2.46,0,sedang
0,0,0,0,rendah
292100000,0,1,0,sedang
0,15598,5.2,1,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,24000000000,5.6,1,parah
1100000,21000000000000,0,0,parah
2000000000,21000000000000,0,0,parah
0,0,0,0,rendah
1100000,21000000000000,0,0,parah
500,17000000000000,0,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
30800000000,34500000000000,2.8,0,parah
0,0,0,0,rendah
1100000,21000000000000,0,0,parah
20900000000,0,809,0,parah
0,0,0,0,rendah
0,0,5.7,0,sedang
0,0,0,0,rendah
27500000000,0,2.49,0,parah
0,0,1,0,rendah
0,0,27,1,parah
0,900000,6.4,1,parah
0,0,1,0,rendah
0,0,27,1,parah
0,0,5,0,rendah
0,0,4.74,0,rendah
0,0,0,0,rendah
1500000000,0,5.4,0,parah
0,0,40,0,parah
45520000000,226000000000000,5.4,1,parah
0,0,4.5,0,rendah
0,21000000000000,0,0,parah
0,237700000000000,1.22,0,parah
0,700000000000000,77,0,parah
0,0,0.4,0,rendah
0,0,0,0,rendah
0,0,29.2,1,parah
0,100000000000000,0,0,parah
0,0,5.72,1,parah
0,0,10,0,sedang
0,1000000000,0,0,sedang
0,0,0,0,rendah
0,1000000000,0,0,sedang
0,1,3.7,0,rendah
0,1,0,0,rendah
5160000000,0,2.46,0,parah
0,7400000000000,5.01,1,parah
5160000000,0,0.80,1,parah
0,0,0,0,rendah
0,1000000000,0,0,sedang
0,1000000000,0,0,sedang
45520000000,0,5.72,0,parah
50590000000,1,5.4,1,parah
0,0,0,0,rendah
0,1000,0,0,rendah
0,100000000,90,1,parah
50590000000,0,2.46,0,parah
0,30800000000000,60,0,parah
0,0,0,0,rendah
0,1,126,0,parah
0,0,0,0,rendah
0,160600000000000,0,0,parah
0,1,1,0,rendah
0,0,3,0,rendah
0,0,61,0,parah
0,0,5.72,0,sedang
0,0,20,0,parah
0,200000000000,0,0,parah
0,500000,50,0,parah
0,8270000000000,44.3,0,parah
33500000,1200000000000,1,0,parah
0,2500000,6,0,sedang
0,0,0,0,rendah
0,0,95,0,parah
0,0,0,0,rendah
0,10000000,0,0,rendah
76.7,15000000000,0,0,parah
0,0,4.8,1,parah
0,345550000000000,92.6,0,parah
0,0,1.50,0,rendah
0,1,0,0,rendah
0,0,20.3,0,parah
0,0,5.17,0,sedang
0,0,0,0,rendah
0,0,10,0,sedang
0,1200000000000,1,0,parah
0,598200000000000,45,0,parah
0,0,3.95,0,rendah
0,1,0,0,rendah
0,0,98,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
6200000000,96720000000000,0,0,parah
0,0,42.1,0,parah
0,0,0,0,rendah
0,1,1,1,parah
0,0,5,1,parah
0,16000,5.7,0,sedang
0,101,117,0,parah
0,0,0,1,parah
0,0,1,1,parah
0,0,0,0,rendah
17000000000,0,0,0,parah
0,0,92.4,1,parah
0,0,0,0,rendah
0,0,17,0,parah
0,0,0,0,rendah
0,10,0,0,rendah
0,0,6,0,sedang
0,0,5.72,0,sedang
0,0,0,0,rendah
0,0,0,1,parah
0,0,0,0,rendah
0,57900000000000,0,0,parah
0,0,0,0,rendah
1,1,0,0,rendah
0,2808000000000,0,0,parah
0,450000000000000,3,0,parah
0,3000000,0,0,rendah
0,0,40,0,parah
0,0,30,0,parah
0,0,5.65,0,sedang
0,2000000000,0,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,1,0,0,rendah
0,0,0,1,parah
0,0,0,0,rendah
0,0,0.91,0,rendah
0,0,70,0,parah
0,0,1,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,5.1,1,parah
0,10,4.63,0,rendah
0,0,0,0,rendah
0,520000000000,96.2,0,parah
0,0,0,0,rendah
0,0,1,0,rendah
0,0,0,1,parah
105,77500000000000,0,0,parah
758000000,0,22,0,parah
0,0,0,0,rendah
45520000000,0,5.72,1,parah
0,0,123,1,parah
0,0,0,0,rendah
50000000,0,30,0,parah
0,0,0,0,rendah
0,20400000000000,27.5,0,parah
0,50000000,100,0,parah
0,1200000000000,5,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,1,72,0,parah
0,0,40,0,parah
0,164660000000000,0,0,parah
0,100000,100,0,parah
0,0,0,0,rendah
0,0,5,1,parah
0,10,0,0,rendah
0,0,5.7,1,parah
0,1,7.95,1,parah
0,0,0,0,rendah
0,1,4.7,1,parah
0,0,0,0,rendah
0,0,97,0,parah
0,5500,0,1,parah
0,0,0,0,rendah
0,0,20,0,parah
0,107000000000000,1,0,parah
0,1,0,0,rendah
0,0,2.81,0,rendah
0,0,0,0,rendah
15830000000,246640000000000,0,0,parah
0,0,100,0,parah
0,40800000000000,85,0,parah
0,0,78,0,parah
0,0,17,0,parah
0,0,0,0,rendah
0,703160000000000,1,0,parah
0,30000000,0,0,rendah
0,0,0.3,1,parah
0,10,6,0,sedang
0,4500000000,0,0,parah
0,18100000000000,20,1,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,70370000000000,15.4,0,parah
0,0,5.7,1,parah
0,0,0,0,rendah
0,0,0,1,parah
0,0,20.8,0,parah
0,0,0,0,rendah
0,0,90,0,parah
0,0,38.1,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
1,1,5.5,1,parah
0,5030000000000,0,0,parah
0,70000000000000,1,0,parah
0,0,0,0,rendah
0,500000000,24.2,0,parah
0,0,0,0,rendah
0,0,40,0,parah
0,10,0,0,rendah
0,0,0,0,rendah
0,0,-3.1,1,parah
0,1,75,0,parah
0,0,0,0,rendah
0,11000000000000,40,0,parah
231,237660000000000,1,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,1,1,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,50000,1,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,70,0,parah
0,0,5.72,1,parah
0,0,50,0,parah
0,0,0.02,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
1,1,6,1,parah
0,0,80,0,parah
0,0,0,0,rendah
0,1,5.2,0,sedang
0,0,0,0,rendah
0,0,0,0,rendah
0,0,5.71,1,parah
0,0,2.7,0,rendah
0,0,0,0,rendah
0,100000000,0,0,rendah
0,0,0,0,rendah
0,100730000000000,48,0,parah
0,24000000000000,27,0,parah
0,0,0,0,rendah
0,0,27,0,parah
0,0,4.25,1,parah
0,0,0,0,rendah
0,0,2.3,1,parah
1,1,5,1,parah
0,0,0,0,rendah
0,0,0,1,parah
0,1,1,1,parah
0,1,1,1,parah
0,480000,0,0,rendah
0,1,5.3,1,parah
0,0,5,0,rendah
0,0,0,0,rendah
30000000000,0,5.7,1,parah
0,19500000000,0,0,parah
0,0,0,0,rendah
0,0,5,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,1,1,parah
0,0,0,0,rendah
0,0,27,1,parah
0,0,0,0,rendah
0,43,17,0,parah
0,0,27,1,parah
0,1200000000000,5.72,0,parah
0,0,0,1,parah
0,4000000000,0,0,parah
0,1790000000000,0,0,parah
0,0,0,0,rendah
0,0,1,1,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,5.3,1,parah
0,0,30,0,parah
0,1000,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,72,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,97,0,parah
0,40000000,0,0,rendah
0,0,0,0,rendah
0,80000000,0,0,rendah
0,70000000,0,0,rendah
0,8500000000000,1,0,parah
0,0,0,0,rendah
0,460000000000000,97,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,500000000,6,0,sedang
0,1,0,0,rendah
0,0,30,0,parah
0,0,20,0,parah
0,50000000,0,0,rendah
0,0,40,0,parah
0,0,0,0,rendah
0,15800000000,30,0,parah
0,0,0,0,rendah
0,0,60,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,99.9,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,96,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,24400000000000,0,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,224000000000,7,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,5000,85,0,parah
0,0,0,0,rendah
0,0,59.4,0,parah
0,0,0,0,rendah
0,15000000,0,0,rendah
0,0,40,0,parah
0,0,0,0,rendah
0,10000,0,0,rendah
0,150000,100,0,parah
0,1,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,675000000,0,0,sedang
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,5000000,100,0,parah
0,0,99.9,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,1,parah
0,0,0,0,rendah
0,661320000000,0,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,4500000000000,56.8,0,parah
0,12000000,1,0,rendah
0,0,0,0,rendah
0,461970000000000,8.93,0,parah
0,0,0,0,rendah
0,20000,50,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,1,0,0,rendah
0,0,0,0,rendah
0,0,0,1,parah
0,0,0,0,rendah
0,0,21,0,parah
0,1,0,0,rendah
0,0,0,0,rendah
0,0,5.72,0,sedang
0,0,55,0,parah
0,0,0,0,rendah
0,8500000000000,1,0,parah
0,0,96,0,parah
0,10000000,30,0,parah
0,0,0,0,rendah
0,0,7,0,sedang
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,160600000000000,0,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,22000000000000,7,0,parah
0,0,75,0,parah
1,1,61.9,1,parah
0,0,0,0,rendah
0,1200000000000,4,0,parah
0,0,0,0,rendah
0,8500000000000,1,0,parah
0,0,0,0,rendah
0,0,5,0,rendah
0,0,30,0,parah
0,0,0,0,rendah
0,143840000000,0,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,786350000000000,77,0,parah
0,0,0,0,rendah
0,51030000000000,1,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,90,0,parah
0,43000000000000,0,0,parah
0,0,0,0,rendah
0,0,3.47,0,rendah
0,0,67,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,23700000000000,5,0,parah
0,450000000000000,60,0,parah
0,0,0,0,rendah
0,6000000,9.31,0,sedang
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0.02,0,rendah
0,0,0,0,rendah
0,100000,1.75,0,rendah
0,0,0,0,rendah
0,10050,11,0,parah
0,199820000000000,1,0,parah
0,0,0,0,rendah
15830000000,246600000000000,0,0,parah
0,0,5,0,rendah
0,500000000000000,90,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,300000,0,0,rendah
0,0,0,0,rendah
0,25000000000,0,0,parah
0,0,70,0,parah
0,173000000000,24,0,parah
3090000000000,786350000000000,118,0,parah
0,0,30,0,parah
0,0,100,0,parah
0,0,0,0,rendah
0,0,47.5,0,parah
0,0,5.24,1,parah
0,75000000000000,0,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,6000000000,100,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,81,1,parah
0,10,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,2000000,0,0,rendah
0,0,100,0,parah
0,1,0.32,0,rendah
0,0,0,0,rendah
0,0,70,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,3250000000000,1,0,parah
0,2000000000,0,0,parah
0,47570000,3.58,0,rendah
0,0,0,0,rendah
0,0,90,0,parah
0,62000000000000,0,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0.1,1.1,1,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,1,1,parah
5500000000,0,1,0,parah
1449000000,21000000000000,25,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,60.5,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,1,5.5,1,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,1,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,1,0.9,0,rendah
0,1,0,0,rendah
0,0,60,0,parah
0,0,0,0,rendah
0,10000,0,0,rendah
0,1000,1,0,rendah
0,0,0,0,rendah
0,112000,0,0,rendah
0,360000000000,2,0,parah
0,11000,1,1,parah
0,49000000000,0,0,parah
0,0,0,0,rendah
219350000000,0,5.7,1,parah
3000,46500000,67,0,parah
0,0,0,0,rendah
0,1485000000000,4.7,0,parah
0,0,4.25,1,parah
0,0,0,0,rendah
0,0,3,1,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,25000,0,0,rendah
0,50000,1,0,rendah
0,0,20.8,0,parah
0,980000000000,0,0,parah
0,1,6,0,sedang
0,10000000000,3,0,parah
0,11000,0,0,rendah
0,9359,0,1,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,31,0,parah
0,0,4.8,0,rendah
0,0,35,0,parah
600000000,9300000000000,0,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,8800,0,0,rendah
0,0,0,0,rendah
0,1000,0,0,rendah
0,0,0,0,rendah
0,1000,0,0,rendah
0,0,0,0,rendah
0,1,1.8,1,parah
0,0,70,0,parah
0,4400000000000,0,0,parah
0,0,0,0,rendah
0,0,15,0,parah
0,96000,1,0,rendah
0,10000,0,0,rendah
0,0,17,0,parah
0,1,7,1,parah
0,0,0,0,rendah
0,9.48,0,0,rendah
0,0,0,0,rendah
0,0,99.7,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,25000,50,0,parah
0,0,0,1,parah
0,10,59,0,parah
0,39600000,50,0,parah
0,0,0,0,rendah
0,0,1,0,rendah
0,500000000000,10,0,parah
0,0,0,0,rendah
0,7500000000000,0,0,parah
0,62000000000000,0,0,parah
0,1,4,1,parah
0,0,50,0,parah
0,21000000000000,0,0,parah
20000000000,261000000000000,9.68,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,19500000000,0,0,parah
0,0,70,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,92,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,1,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,20000000,0,0,rendah
0,0,0,0,rendah
0,0,22,0,parah
0,0,80,0,parah
0,0,0,0,rendah
0,0,5.42,1,parah
0,0,0,0,rendah
0,0,30,0,parah
0,0,0,0,rendah
0,156700000000000,169,0,parah
0,0,0,0,rendah
0,0,0,1,parah
0,2760000000000,1,0,parah
0,0,4,0,rendah
0,7800000000,95,0,parah
105000000000,1600000000000,1.7,0,parah
0,3700000,0,0,rendah
0,0,0,0,rendah
0,0,16,0,parah
0,10,1,0,rendah
0,0,1,0,rendah
0,7500000000000,0,0,parah
0,10,110.06,0,parah
0,0,0,0,rendah
0,30000000,25,0,parah
0,0,0,0,rendah
0,140000,0,0,rendah
0,0,0,0,rendah
0,70000,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,1,1,1,parah
0,0,0,0,rendah
0,1,1100,0,parah
0,90000,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,2300000000,0,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,80,0,parah
0,1,1100,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,1,0,0,rendah
0,1,1,1,parah
0,4000000000,0,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
1,60,100,0,parah
0,0,40,1,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0.25,1,parah
0,300000,0,0,rendah
0,0,0,0,rendah
0,10,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,10,1,parah
0,1,41,0,parah
0,1,2.5,0,rendah
0,3250000000000,1,0,parah
0,0,0,0,rendah
0,5060000000000,66.4,0,parah
0,5000,0,0,rendah
0,0,0,1,parah
0,1400,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,1,parah
0,1419000000,23,0,parah
0,3250000000000,1,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,2100000000000,0,0,parah
0,0,0,0,rendah
